Wall time,Step,Value
1747756880.3003533,1,4.145599842071533
1747757443.3754168,2000,2.4275999069213867
1747758480.9149714,4000,1.8502999544143677
1747759515.7882524,6000,1.7034000158309937
1747760544.528325,8000,1.6282999515533447
1747761579.3682117,10000,1.579200029373169
1747762611.0644546,12000,1.541700005531311
1747763644.8829305,14000,1.5140000581741333
1747764672.5991004,16000,1.4895999431610107
1747765707.2203116,18000,1.4656000137329102
1747766736.779116,20000,1.4428999423980713
1747767773.0904763,22000,1.4205000400543213
1747768811.3511834,24000,1.402400016784668
1747769844.1715581,26000,1.3854999542236328
1747770876.887987,28000,1.3707000017166138
1747771910.9840806,30000,1.3583999872207642
1747772940.1656523,32000,1.3492000102996826
