,vocabulary,counting
0,[O-],387
1,%66,0
2,%83,0
3,[NH3+],0
4,<pad>,0
5,[BH3-],0
6,%54,0
7,[B-],0
8,[CH2+],0
9,[n+],0
10,6,42
11,:,0
12,%45,0
13,Cl,1948
14,%43,0
15,%17,0
16,%92,0
17,=,0
18,[I+3],0
19,1,3412
20,<eos>,0
21,[CH],0
22,%90,0
23,-,0
24,[Br+2],0
25,<,0
26,(,4
27,Br,396
28,[Cl+3],0
29,[I+2],0
30,%64,0
31,%29,0
32,n,0
33,b,0
34,[P-],0
35,[SiH2],0
36,%15,0
37,%01,0
38,[O+],0
39,[N-],6
40,[cH-],0
41,%65,0
42,%77,0
43,%82,0
44,%08,0
45,4,1105
46,[Si],0
47,%12,0
48,[I+],0
49,%87,0
50,[SeH],0
51,%88,0
52,[S+],0
53,[se+],0
54,%32,0
55,%20,0
56,[Se],0
57,%04,0
58,%18,0
59,5,267
60,+,0
61,%62,0
62,[F-],0
63,%69,0
64,\,0
65,%48,0
66,%60,0
67,%99,0
68,[OH+],0
69,[,0
70,[S-],0
71,[c+],0
72,%81,0
73,[P+],0
74,%14,0
75,[SH-],0
76,[Cl-],0
77,[nH],0
78,%31,0
79,[SH+],0
80,.,0
81,p,0
82,%56,0
83,[O],2
84,s,0
85,%50,0
86,[B],0
87,%19,0
88,%21,0
89,<unk>,0
90,%02,0
91,%41,0
92,%94,0
93,[SH],0
94,[o+],0
95,[n-],0
96,%70,0
97,%97,0
98,[Si-],0
99,[PH2+],0
100,%27,0
101,#,0
102,%36,0
103,%63,0
104,[F+],0
105,$,0
106,8,3
107,[c-],0
108,%98,0
109,[C-],0
110,%96,0
111,[Cl+],0
112,[cH+],0
113,[Br-],0
114,2,5964
115,%39,0
116,o,0
117,%06,0
118,%67,0
119,%80,0
120,%16,0
121,N,1507
122,/,0
123,%58,0
124,%78,0
125,[Se+],0
126,%52,0
127,%23,0
128,F,3621
129,%55,0
130,%79,0
131,%46,0
132,[IH],0
133,%73,0
134,P,0
135,%51,0
136,%93,0
137,[SeH2],0
138,@,0
139,[CH+],0
140,C,9336
141,%37,0
142,[IH2],0
143,%59,0
144,%61,0
145,[b-],0
146,%49,0
147,[BH2-],0
148,[CH2],0
149,%10,0
150,[NH+],0
151,[CH-],0
152,%09,0
153,%07,0
154,],0
155,%68,0
156,%38,0
157,%53,0
158,%74,0
159,%85,0
160,9,0
161,%05,0
162,%11,0
163,[BH-],0
164,[se],0
165,*,0
166,%40,0
167,[NH-],0
168,%28,0
169,[SiH],0
170,>,0
171,%35,0
172,%33,0
173,%30,0
174,0,0
175,[NH2+],0
176,[I-],0
177,[SiH-],0
178,%91,0
179,%42,0
180,%13,0
181,S,293
182,[nH+],0
183,%22,0
184,),9
185,I,37
186,%26,0
187,[PH],0
188,[Se-],0
189,%75,0
190,c,3
191,%25,0
192,7,2
193,%71,0
194,%44,0
195,3,3516
196,%89,0
197,<bos>,0
198,%84,0
199,%34,0
200,%76,0
201,[s+],0
202,%47,0
203,%95,0
204,[N],0
205,?,0
206,B,0
207,%57,0
208,~,0
209,%72,0
210,%86,0
211,[N+],0
212,%24,0
213,[Cl+2],0
214,[C+],0
215,%03,0
216,%00,0
217,O,19488
