,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,5,8,3.697824164927699e-12,C,5.313127981704886e-16,7,1.0,O,1.0,0
1,10,12,0.07489050924777985,C,0.03994106501340866,11,0.39285537600517273,C,0.39285537600517273,0
2,13,15,0.1100197285413742,),0.04067353904247284,11,0.5040051937103271,C,0.3164200186729431,0
3,24,27,4.226680630381452e-06,C,8.4022269675188e-07,26,0.9999908208847046,O,0.9999945759773254,0
4,34,36,0.007674339693039656,c,0.004585031885653734,35,0.9848448634147644,C,0.9848448634147644,0
5,21,40,1.9575506939872866e-06,c,7.249855116242543e-07,39,0.94651859998703,C,0.9999867677688599,0
6,8,19,0.0,c,0.0,17,1.0,[nH],1.0,1
7,21,24,0.004537385422736406,c,0.002131425542756915,22,0.499385267496109,O,0.9647241830825806,1
8,6,8,0.055527105927467346,c,0.04446058347821236,7,0.5505357980728149,C,0.5505357980728149,2
9,26,29,2.6714841450115046e-10,C,1.0729694910338594e-09,28,1.0,O,1.0,2
10,34,36,0.5135191679000854,c,0.03604445978999138,34,0.5135191679000854,(,0.4422735571861267,2
11,24,43,1.0541029951127712e-06,c,1.055150960382889e-06,42,0.9812670946121216,C,0.9999911785125732,2
12,17,46,5.404514880069655e-08,c,2.6164748589962983e-08,45,0.6275566220283508,3,0.9999994039535522,2
13,10,56,4.501944417256709e-08,n,3.441235918444363e-08,54,0.5491625666618347,2,0.999999463558197,2
14,6,9,1.4868804155187953e-20,c,1.230720704679281e-22,8,1.0,O,1.0,3
15,14,16,0.0030251643620431423,c,1.77727997652255e-05,10,0.8762123584747314,o,0.11959093809127808,3
16,22,25,3.012593114407107e-17,C,2.4017559248801276e-18,24,1.0,O,1.0,3
17,27,29,0.009572703391313553,N,0.0029658330604434013,12,0.737413763999939,2,0.050607830286026,3
18,18,39,0.00016891259292606264,c,1.684573908278253e-05,30,0.6485077738761902,C,0.9986869692802429,3
19,14,17,5.576326726763892e-12,C,2.8342844733784e-16,16,1.0,O,1.0,4
20,8,28,1.5884195292414915e-08,c,2.0635656738932084e-08,24,0.8355264067649841,O,0.9999998807907104,4
21,7,9,0.002605947433039546,C,0.0003596991300582886,8,0.9779665470123291,O,0.9779665470123291,5
22,12,15,1.3995975489677903e-09,C,3.808874229742094e-15,14,1.0,O,1.0,5
23,25,28,2.022307126026135e-05,C,1.2550341321748704e-10,27,0.9999797344207764,1,0.9999797344207764,5
24,37,40,0.007174540776759386,c,2.603289431135636e-06,39,0.9910464882850647,C,0.9928116798400879,5
25,42,45,0.01828261837363243,c,3.6316698697191896e-06,44,0.979349672794342,C,0.9816268086433411,5
26,10,48,2.2138123279002997e-10,),1.358650691951624e-10,47,0.999822199344635,1,1.0000001192092896,5
27,54,56,0.004119726363569498,c,0.0004517890338320285,55,0.9475167989730835,C,0.9475167989730835,5
28,58,60,2.5932171411113814e-05,c,5.604706984740915e-06,59,0.9489558339118958,C,0.9489558339118958,5
29,5,8,3.697824164927699e-12,C,5.313127981704886e-16,7,1.0,O,1.0,6
30,20,22,0.005188017152249813,n,0.021393196657299995,21,0.8806039094924927,C,0.8806039094924927,6
31,14,27,1.3634901208092742e-08,N,7.819000558129119e-09,26,0.4702185094356537,C,0.9999934434890747,6
32,14,16,3.39847258064988e-18,C,2.8233726228312623e-25,15,1.0,F,1.0,7
33,17,19,6.515691985953254e-09,),4.5893718919566215e-14,18,1.0,F,1.0,7
34,12,21,0.0,c,0.0,20,1.0,F,1.0,7
35,5,26,1.975830834697992e-43,c,4.0637655465419695e-44,25,1.0,Cl,1.0,7
36,28,31,1.0879867970089996e-12,c,9.010796020447742e-07,30,0.9996374845504761,O,0.9996374845504761,7
37,36,38,0.019152002409100533,C,3.449706491664983e-05,24,0.9375201463699341,2,0.02986655756831169,7
38,44,48,1.3811188372660914e-27,c,3.981291115557672e-19,47,0.9576172232627869,N,1.0,7
39,33,52,3.101487209278275e-07,n,3.5237871287563394e-08,51,0.502083957195282,2,0.827473521232605,7
40,5,8,3.697824164927699e-12,C,5.313127981704886e-16,7,1.0,O,1.0,8
41,35,37,1.3685488727632495e-23,C,8.032786093776891e-28,36,1.0,F,1.0,8
42,38,40,1.8898841954821564e-17,),7.332862855369157e-24,39,1.0,F,1.0,8
43,33,42,0.0,c,0.0,41,1.0,F,1.0,8
44,27,48,6.599936455131683e-07,c,4.495737115917109e-09,47,0.9988815188407898,C,0.9999526739120483,8
45,20,52,3.549718741169272e-08,N,3.141158000374844e-09,51,0.8600338697433472,2,0.9999998807907104,8
46,54,57,8.781197123608475e-12,C,3.3417190455770074e-12,56,1.0,O,1.0,8
47,59,61,0.17030155658721924,C,0.05520978569984436,60,0.7714375257492065,C,0.7714375257492065,8
48,18,63,3.38982591996384e-11,c,1.2364036877654527e-11,62,0.9998960494995117,C,1.0,8
49,15,18,6.789172039134428e-05,C,7.856083006352321e-10,17,0.9999319314956665,O,0.999932050704956,9
