,total_scores,occurences
0,0.7259,51348
1,0.0741,51348
2,0.0215,51348
3,0.0287,51348
4,0.0226,51347
5,0.0088,50649
6,0.0112,49640
7,0.0066,49044
8,0.0117,48183
9,0.0080,47749
10,0.0069,47136
11,0.0061,46528
12,0.0055,45726
13,0.0039,44859
14,0.0041,43912
15,0.0037,43086
16,0.0035,42075
17,0.0034,41182
18,0.0027,40299
19,0.0029,39356
20,0.0036,38389
21,0.0025,37416
22,0.0030,36432
23,0.0029,35408
24,0.0024,34459
25,0.0025,33347
26,0.0028,32223
27,0.0031,31090
28,0.0024,30025
29,0.0030,28941
30,0.0027,27809
31,0.0026,26693
32,0.0027,25585
33,0.0028,24474
34,0.0024,23377
35,0.0029,22310
36,0.0032,21207
37,0.0027,20100
38,0.0028,19087
39,0.0034,18058
40,0.0030,17067
41,0.0026,16127
42,0.0031,15254
43,0.0035,14380
44,0.0032,13543
45,0.0039,12677
46,0.0034,11874
47,0.0029,11130
48,0.0033,10434
49,0.0030,9762
50,0.0027,9145
51,0.0043,8548
52,0.0029,7960
53,0.0041,7444
54,0.0036,6955
55,0.0032,6516
56,0.0024,6084
57,0.0029,5660
58,0.0033,5251
59,0.0034,4865
60,0.0027,4557
61,0.0018,4227
62,0.0023,3937
63,0.0018,3633
64,0.0018,3394
65,0.0019,3130
66,0.0022,2897
67,0.0019,2692
68,0.0031,2491
69,0.0029,2295
70,0.0048,2112
71,0.0007,1961
72,0.0042,1785
73,0.0039,1642
74,0.0022,1522
75,0.0038,1418
76,0.0013,1286
77,0.0024,1158
78,0.0047,1066
79,0.0037,967
80,0.0035,884
81,0.0009,791
82,0.0029,712
83,0.0037,636
84,0.0003,569
85,0.0001,510
86,0.0038,458
87,2.3124e-06,400
88,0.0031,359
89,1.8100e-06,317
90,0.0035,282
91,7.6062e-06,252
92,0.0044,228
93,0.0059,191
94,6.3716e-06,164
95,2.4988e-07,135
96,7.3909e-09,105
97,2.0449e-09,82
98,4.2677e-10,57
99,4.9232e-11,40
100,5.0833e-28,26
101,0.,3
102,0,0
103,0,0
