Wall time,Step,Value
1747774030.867232,1,3.8975000381469727
1747774761.057673,2000,2.1614999771118164
1747775850.985536,4000,1.818600058555603
1747776942.7798786,6000,1.7493000030517578
1747778033.843488,8000,1.7152999639511108
1747779125.6618114,10000,1.694100022315979
1747780217.8965476,12000,1.6791000366210938
1747781309.4828317,14000,1.6670000553131104
1747782401.0016654,16000,1.6548999547958374
1747783491.5828764,18000,1.6446000337600708
1747784582.9283204,20000,1.6348999738693237
1747785675.2638252,22000,1.6253999471664429
1747786766.656941,24000,1.6165000200271606
1747787858.9149852,26000,1.6069999933242798
1747788950.492086,28000,1.5978000164031982
1747790041.490496,30000,1.5889999866485596
1747791133.254235,32000,1.5814000368118286
1747792225.6648788,34000,1.5750999450683594
1747793318.077401,36000,1.569000005722046
1747794409.6568325,38000,1.5640000104904175
1747795503.0297534,40000,1.5601999759674072
