,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,11,14,8.881423809725675e-07,C,6.143779707201702e-09,5,4.8786780098453164e-05,O,1.214776403912765e-07,0
1,20,24,0.027089815586805344,N,0.06400767713785172,19,0.06400767713785172,N,0.010736560449004173,0
2,27,30,1.1183925600198903e-23,C,3.5762494800884366e-23,17,6.975710265405892e-19,C,3.209291644927668e-22,0
3,32,34,0.24079769849777222,N,0.02602226473391056,32,0.24079769849777222,(,0.0,0
4,19,24,4.4272724153415766e-08,C,5.513756118347146e-10,17,0.9925535321235657,C,5.317648027444121e-18,1
5,26,29,0.0,C,0.0,19,0.9241781830787659,(,0.0,1
6,35,38,6.540797767229378e-05,C,1.12365715690399e-12,16,0.797450840473175,=,2.9006469535325374e-12,1
7,40,42,2.0340672563179396e-05,C,0.00037768142647109926,29,0.5961888432502747,),0.0,1
8,10,14,6.379098828791926e-16,C,7.807969797212254e-23,1,8.07276734349216e-09,Cl,1.7101086985295971e-13,2
9,20,25,1.4699469197410053e-08,N,4.090692982572364e-06,23,0.17998382449150085,1,0.17998623847961426,2
10,27,30,2.486923449396272e-06,C,2.68343740117416e-07,25,3.683493196149357e-05,),8.545862328901421e-06,2
11,38,40,7.171317520260345e-06,N,1.6089441601252474e-07,1,0.9999881982803345,Cl,0.0,2
12,4,7,6.366677212099603e-07,S,1.2391818682289113e-09,4,6.366677212099603e-07,(,8.248282057365941e-09,3
13,8,10,0.009173665195703506,),0.0026684594340622425,3,0.6477153301239014,S,0.0,3
14,15,18,6.127300444802586e-09,C,2.6973017952514056e-07,14,2.6973017952514056e-07,C,1.4312507801150787e-07,3
15,28,33,0.0004597743391059339,C,3.999444005142738e-12,20,0.9620847105979919,C,4.222988603773403e-13,3
16,15,19,1.063205104401277e-06,C,2.8537931484606816e-06,9,0.06544719636440277,N,4.69383991230643e-07,4
17,21,24,2.3915504313960813e-35,C,2.031596784621582e-34,9,3.115736250219814e-18,N,2.0760787851632215e-36,4
18,35,39,5.139320080616017e-10,C,1.9945700906881525e-12,24,0.9882414937019348,),2.948345913512052e-18,4
19,11,16,0.0011480475077405572,C,0.00014432483294513077,2,0.916889488697052,#,0.0027375847566872835,5
20,19,21,1.0994400554409367e-06,N,1.8147441096516559e-06,2,0.9946881532669067,#,0.0,5
21,23,26,2.5688773865297793e-17,C,2.3862866961676815e-17,19,2.990588399143235e-08,(,5.8074141239506985e-24,5
22,5,7,4.963250788136975e-08,C,2.584119647508487e-05,4,2.584119647508487e-05,C,0.0,6
23,16,19,6.590143497345353e-21,C,8.847112128516193e-24,17,1.1229997349488088e-18,=,1.1229997349488088e-18,6
24,23,26,5.586705859382632e-16,C,1.5751144143666343e-20,23,5.586705859382632e-16,(,5.973721315508091e-20,6
25,28,30,0.041444141417741776,N,0.042340364307165146,21,0.09932664781808853,C,0.0,6
26,32,34,0.0008751261630095541,C,6.886932533234358e-05,27,0.9613998532295227,N,0.0,6
27,36,38,0.00038604403380304575,C,1.6341837749678234e-07,19,0.9864577651023865,),0.0,6
28,39,41,0.0036196974106132984,),1.5757765936541546e-07,36,0.5062882900238037,(,0.0,6
29,16,21,8.694866664882284e-06,C,1.1321737929392839e-06,8,0.8685216903686523,N,5.9377856814535335e-05,7
30,23,26,5.683749274368506e-20,C,7.149218939641837e-22,8,4.437313719306625e-19,N,3.587023231402514e-19,7
31,32,36,1.8140361135010608e-05,N,4.718271611636737e-06,7,0.8199229836463928,1,0.002666191663593054,7
32,38,41,9.885265050968428e-09,C,1.1201407639979677e-12,39,7.114500277793923e-08,=,7.114500277793923e-08,7
33,14,16,3.3437862260966497e-15,C,4.936167918856427e-09,6,0.7760605216026306,N,0.0,8
34,20,23,1.0819556950053221e-29,C,1.2433451275784172e-27,6,6.24398444060148e-09,N,1.703731096165496e-32,8
35,29,31,7.845409738527209e-11,C,5.103826669833941e-16,20,0.9117142558097839,(,0.0,8
36,15,18,1.429367983725507e-35,C,4.3372289418549576e-40,16,6.159129604523264e-31,=,6.159129604523264e-31,9
37,28,31,5.535878422335827e-10,C,5.356527938218947e-14,22,0.9089810252189636,1,1.5489957927439235e-10,9
38,26,34,7.480961130568176e-07,N,7.95865105374105e-07,18,0.25179994106292725,),4.616643491317518e-05,9
39,42,47,0.0,C,0.0,31,0.9984219074249268,),0.0,9
