Wall time,Step,Value
1747734216.2546062,1,0.0
1747734947.8152125,2000,0.0005979976849630475
1747736041.0364292,4000,0.0005898156086914241
1747737143.1509376,6000,0.000575510086491704
1747738238.4686074,8000,0.000555418198928237
1747739331.9364707,10000,0.0005300134653225541
1747740425.5891755,12000,0.0004998947260901332
1747741517.9378948,14000,0.00046577182365581393
1747742611.8890176,16000,0.00042844892595894635
1747743706.8008463,18000,0.0003888057544827461
1747744800.7860725,20000,0.00034777657128870487
1747745898.1643896,22000,0.00030632843845523894
1747746996.6711469,24000,0.0002654382260516286
1747748096.7853549,26000,0.00022606963466387242
1747749190.1096537,28000,0.0001891505380626768
1747750289.7254097,30000,0.00015555108257103711
1747751385.2998545,32000,0.00012606313975993544
1747752480.869547,34000,0.00010138170910067856
1747753586.3239279,36000,8.208849612856284e-05
1747754681.0339005,38000,6.863822636660188e-05
1747755777.8445983,40000,6.134789146017283e-05
