,vocabulary,counting
0,%39,0
1,I,0
2,%12,0
3,%25,0
4,%21,0
5,),6
6,%63,0
7,<,0
8,%64,0
9,P,0
10,%01,0
11,<pad>,0
12,%68,0
13,%41,0
14,B,0
15,?,0
16,%61,0
17,7,0
18,9,0
19,~,0
20,n,0
21,%46,0
22,%05,0
23,#,0
24,%20,0
25,Cl,1000
26,%57,0
27,%80,0
28,%33,0
29,%15,0
30,:,0
31,>,0
32,<bos>,0
33,%74,0
34,*,0
35,%99,0
36,C,7678
37,=,0
38,%75,0
39,%47,0
40,%08,0
41,%70,0
42,%36,0
43,8,0
44,%31,0
45,%44,0
46,%89,0
47,%86,0
48,o,0
49,b,0
50,],0
51,%07,0
52,%23,0
53,%84,0
54,%06,0
55,%34,0
56,%73,0
57,%42,0
58,%09,0
59,%77,0
60,%83,0
61,%28,0
62,%49,0
63,%16,0
64,2,5009
65,%43,0
66,%48,0
67,<unk>,0
68,c,1
69,%66,0
70,\,0
71,%56,0
72,%03,0
73,%19,0
74,O,13290
75,%79,0
76,%95,0
77,%24,0
78,%54,0
79,%55,0
80,5,1
81,%93,0
82,%10,0
83,[nH],0
84,%72,0
85,%26,0
86,%18,0
87,%98,0
88,%53,0
89,%35,0
90,p,0
91,%02,0
92,%45,0
93,%14,0
94,%92,0
95,%94,0
96,F,2642
97,%50,0
98,3,1778
99,s,0
100,%87,0
101,%91,0
102,%81,0
103,%30,0
104,%96,0
105,0,0
106,%32,0
107,@,0
108,%38,0
109,%97,0
110,<eos>,0
111,%90,0
112,%29,0
113,(,1
114,%76,0
115,4,211
116,S,0
117,-,0
118,%17,0
119,%00,0
120,6,0
121,/,0
122,%71,0
123,.,0
124,%13,0
125,%37,0
126,%51,0
127,%59,0
128,%69,0
129,%60,0
130,%65,0
131,%11,0
132,%78,0
133,Br,244
134,+,0
135,%04,0
136,%85,0
137,%62,0
138,N,1339
139,%58,0
140,%52,0
141,$,0
142,%40,0
143,%67,0
144,%22,0
145,%88,0
146,1,2313
147,%82,0
148,[,0
149,%27,0
