,total_scores,occurences
0,0.7041,53753
1,0.0575,53753
2,0.0290,53753
3,0.0246,53752
4,0.0117,53752
5,0.0080,52704
6,0.0085,51614
7,0.0075,50454
8,0.0091,49042
9,0.0057,48049
10,0.0061,46957
11,0.0071,45839
12,0.0058,44322
13,0.0068,42723
14,0.0076,41134
15,0.0076,39642
16,0.0083,38068
17,0.0086,36524
18,0.0094,34899
19,0.0091,33324
20,0.0103,31719
21,0.0110,30184
22,0.0120,28637
23,0.0126,27029
24,0.0133,25385
25,0.0143,23672
26,0.0142,21817
27,0.0156,19985
28,0.0168,18098
29,0.0165,16168
30,0.0167,14082
31,0.0170,12178
32,0.0167,10357
33,0.0169,8560
34,0.0188,6896
35,0.0166,5387
36,0.0131,4022
37,0.0149,2900
38,0.0093,2012
39,0.0080,1306
40,0.0046,750
41,0.0002,431
42,4.2364e-05,242
43,0.0016,125
44,0.0002,51
45,4.3784e-06,24
46,3.8088e-06,12
47,9.8091e-45,5
48,0.,3
49,0.,3
50,0.,2
51,0.,2
52,0.,2
53,0.,2
54,0.,2
55,0.,2
56,0.,1
57,0.,1
58,0,0
59,0,0
60,0,0
