,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,5,8,1.2708339346109711e-23,C,3.721995973368396e-27,6,1.4001695732881286e-23,=,1.4001695732881286e-23,0
1,12,15,1.436715142541722e-20,C,2.2343782107546426e-22,12,1.436715142541722e-20,(,1.2086262884458509e-21,0
2,13,15,6.302312729848658e-13,N,5.164447688943419e-11,5,1.0,n,0.0,1
3,25,27,0.9952598214149475,N,0.0009022504091262817,25,0.9952598214149475,(,0.0,1
4,4,6,0.036358773708343506,C,0.02561909705400467,4,0.036358773708343506,(,0.0,2
5,20,22,2.581527405709494e-05,c,1.7597036276129074e-05,7,0.5116838812828064,N,0.0,2
6,13,28,7.473163849955504e-22,c,1.114879522595226e-21,26,2.6213675674569004e-10,=,2.6213875514713436e-10,2
7,10,13,3.2363077506667684e-18,c,1.429566829908597e-24,11,1.29149425528996e-12,=,1.29149425528996e-12,3
8,16,19,6.155864354334239e-16,c,8.422928052976775e-17,17,3.5362195756252074e-14,=,3.5362195756252074e-14,3
9,4,29,0.0,C,0.0,27,2.0022399294106208e-09,2,2.0022399294106208e-09,3
10,11,14,2.410517193295568e-14,C,1.542209027982965e-23,12,1.521292857312173e-13,=,1.521292857312173e-13,4
11,20,22,0.0001797815493773669,c,2.3304753995034844e-05,8,0.6057016253471375,S,0.0,4
12,24,26,8.489872016070876e-06,c,6.023062582016792e-08,24,8.489872016070876e-06,(,0.0,4
13,7,29,1.501674219001048e-13,c,3.550717120499869e-13,5,3.7953798255330184e-06,s,4.2389967802591855e-07,4
14,11,14,4.203895392974451e-45,C,0.0,12,9.059027431662289e-38,=,9.059027431662289e-38,5
15,23,25,2.943773047547893e-08,N,0.00014152182848192751,22,0.00014152182848192751,N,0.0,5
16,27,29,1.6306605371552152e-11,C,1.18905517334242e-18,22,1.0,N,0.0,5
17,21,32,4.1022949729710503e-19,c,1.0940214041237484e-20,29,1.654199173473092e-11,),1.659330658987379e-11,5
18,9,36,5.114223999261487e-14,c,1.5184770233339683e-15,22,0.03724963963031769,N,0.037250030785799026,5
19,29,31,2.1407679098333672e-17,c,5.316615110469614e-16,28,5.316615110469614e-16,c,0.0,6
20,33,35,2.3483911920329313e-35,c,5.234460732177299e-34,32,5.234460732177299e-34,c,0.0,6
21,22,38,3.928599806579669e-11,c,2.726717811230798e-14,34,4.1391489503439516e-05,F,4.14079986512661e-05,6
22,4,7,8.107701432933637e-17,C,7.809467093075687e-21,5,1.0221763320382362e-16,=,1.0221763320382362e-16,7
23,14,17,4.3864164076433134e-21,S,2.0692476361607346e-21,15,2.9970912017207073e-20,=,2.9970912017207073e-20,7
24,18,21,1.0413904472660874e-17,),1.3974961236803345e-23,19,7.307931759465824e-15,=,7.307931759465824e-15,7
25,29,31,2.884076034633323e-14,c,3.3978184578020015e-14,28,3.3978184578020015e-14,c,0.0,7
26,12,34,0.01777595281600952,c,3.973624188802205e-05,13,0.9553827047348022,S,0.9566329717636108,7
27,4,14,4.232081773190589e-24,C,8.076106036015993e-27,12,0.9544133543968201,O,0.9544133543968201,8
28,27,29,5.496150436678385e-23,c,3.309813981269447e-22,26,3.309813981269447e-22,c,0.0,8
29,19,32,8.311305810249081e-11,n,3.2880365097298636e-11,17,2.314608948950081e-08,n,2.7731172913547653e-09,8
30,21,24,1.8958195472494694e-17,C,2.2294037485496276e-24,16,1.6666102744354182e-15,s,3.21777228750068e-16,9
31,26,28,0.014863972552120686,C,3.283867897607706e-07,26,0.014863972552120686,(,0.0,9
32,18,30,1.3606300797164295e-07,c,5.419394710770575e-07,16,0.2832143008708954,s,0.002155665773898363,9
33,8,35,2.3415265291482946e-14,c,1.3053678960244647e-14,33,6.5124536376970354e-06,2,8.422212886216585e-06,9
34,12,15,2.770411706402151e-25,C,1.1507178496482961e-20,11,1.1507178496482961e-20,C,3.1210559907341055e-24,10
35,10,22,4.468138459430571e-21,c,1.1963837932368352e-20,18,2.9069666812597816e-11,3,2.958164962985066e-11,10
36,3,6,1.7012948326768547e-18,C,4.952652111508218e-28,3,1.7012948326768547e-18,(,3.3692249261989414e-24,11
37,14,17,5.867820124714011e-27,C,8.281673924159669e-43,14,5.867820124714011e-27,(,2.3979354107102013e-28,11
38,32,34,1.3480177862845721e-08,c,3.228943867839007e-08,31,3.228943867839007e-08,c,0.0,11
39,24,37,1.1234426722239732e-07,c,5.992276674859909e-10,33,0.43909505009651184,Cl,0.4394571781158447,11
40,12,41,2.880377557913366e-17,N,1.0126708191163076e-17,39,5.6396685977233574e-05,o,5.726515155402012e-05,11
41,12,15,6.009998181084592e-34,C,1.7396329160586157e-35,13,4.99040192846597e-24,=,4.99040192846597e-24,12
42,22,24,4.1605258192627115e-13,c,2.8932537789183588e-12,17,3.416158733671182e-06,S,0.0,12
43,26,30,3.5496669492651733e-10,c,2.476329146079703e-13,28,1.3449441382817895e-07,#,1.3494508266376215e-07,12
44,8,37,9.916531503828367e-15,c,7.509872884420721e-15,35,1.5650460909455433e-06,#,1.5679521538913832e-06,12
45,4,7,1.181961780107422e-22,C,1.1825528088368283e-29,5,1.7594525175931295e-22,=,1.7594525175931295e-22,13
46,19,29,1.346803779611605e-09,c,1.1983261605230666e-10,27,0.0008202057215385139,#,0.0008220445015467703,13
47,4,18,2.4198841011624904e-39,C,3.67868872854551e-41,16,2.7632253314670073e-24,1,2.7632712826147365e-24,14
48,23,26,1.2438796618848365e-22,c,4.439263232088e-33,24,1.3499357203903758e-14,=,1.3499357203903758e-14,14
49,14,23,1.2377427083265502e-07,c,4.017427102098736e-08,21,0.14596574008464813,s,0.14597472548484802,15
50,5,26,5.186269547152733e-08,c,1.1253600717964218e-07,21,0.005766195245087147,s,0.006266712211072445,15
51,8,11,2.5776851381893548e-30,C,1.2755075109272223e-36,9,4.504488362149589e-21,=,4.504488362149589e-21,16
52,16,18,3.873787870204348e-15,c,1.2940750992469487e-17,16,3.873787870204348e-15,(,0.0,16
53,4,23,1.0668666267804085e-14,C,3.2045674673694593e-15,17,0.33381497859954834,Cl,0.33382871747016907,16
54,7,10,1.3336866694715511e-18,C,1.1775252439486438e-28,8,1.5333316733948997e-18,=,1.5333316733948997e-18,17
55,17,20,3.9979493698717536e-20,C,5.699851361802003e-23,18,1.3292124345642975e-10,=,1.3292124345642975e-10,18
56,27,30,1.181868469757319e-08,c,1.497270731877498e-12,2,0.7992227673530579,=,4.702363582964608e-07,18
57,6,9,1.1762467131245619e-34,C,4.970206668578192e-39,7,2.104608997757423e-29,=,2.104608997757423e-29,19
58,16,18,8.855150304766025e-16,c,2.5682175660046682e-27,16,8.855150304766025e-16,(,0.0,19
59,3,22,1.2202962617497228e-36,C,1.8510930748054084e-37,19,5.2310538083649546e-24,c,6.019826755595034e-24,19
60,24,27,5.718858301406726e-05,C,2.152035631297622e-05,17,0.20281660556793213,Br,1.4355408666233416e-06,19
61,29,31,4.382956897793004e-16,N,4.793078930886854e-19,17,0.9471585154533386,Br,0.0,19
62,8,11,0.006959869526326656,c,0.004261363763362169,9,0.08169063180685043,O,0.08169063180685043,20
63,15,18,4.40747751219346e-31,C,7.532699670101983e-36,16,6.896594446471287e-20,=,6.896594446471287e-20,20
64,22,25,1.1621262051031796e-19,C,1.0173014031964501e-25,23,1.732789869164815e-14,=,1.732789869164815e-14,20
65,33,36,0.03292365372180939,c,1.0961908714079982e-08,33,0.03292365372180939,(,2.2888157502620743e-07,20
66,13,41,1.899910022183072e-22,c,4.3462818532236333e-23,39,0.10170020908117294,O,0.10170020908117294,20
67,15,17,0.0020155201200395823,C,2.0860325093963183e-05,13,0.013882666826248169,O,0.0,21
